area,day,category,conveyed,count
southwest,monday,C1,all,25
southwest,tuesday,C1,all,24
southwest,wednesday,C1,all,24
southwest,thursday,C1,all,24
southwest,friday,C1,all,25
southwest,saturday,C1,all,28
southwest,sunday,C1,all,27
southwest,monday,C2,all,310
southwest,tuesday,C2,all,295
southwest,wednesday,C2,all,295
southwest,thursday,C2,all,295
southwest,friday,C2,all,305
southwest,saturday,C2,all,340
southwest,sunday,C2,all,330
southwest,monday,C3,all,180
southwest,tuesday,C3,all,170
southwest,wednesday,C3,all,170
southwest,thursday,C3,all,170
southwest,friday,C3,all,178
southwest,saturday,C3,all,200
southwest,sunday,C3,all,195
southwest,monday,C4,all,40
southwest,tuesday,C4,all,38
southwest,wednesday,C4,all,38
southwest,thursday,C4,all,38
southwest,friday,C4,all,40
southwest,saturday,C4,all,45
southwest,sunday,C4,all,43
