area,day,category,conveyed,count
southwest,monday,C1,True,20
southwest,monday,C1,False,5
southwest,tuesday,C1,True,19
southwest,tuesday,C1,False,5
southwest,wednesday,C1,True,19
southwest,wednesday,C1,False,5
southwest,thursday,C1,True,19
southwest,thursday,C1,False,5
southwest,friday,C1,True,20
southwest,friday,C1,False,5
southwest,saturday,C1,True,22
southwest,saturday,C1,False,6
southwest,sunday,C1,True,22
southwest,sunday,C1,False,5
southwest,monday,C2,True,248
southwest,monday,C2,False,62
southwest,tuesday,C2,True,236
southwest,tuesday,C2,False,59
southwest,wednesday,C2,True,236
southwest,wednesday,C2,False,59
southwest,thursday,C2,True,236
southwest,thursday,C2,False,59
southwest,friday,C2,True,244
southwest,friday,C2,False,61
southwest,saturday,C2,True,272
southwest,saturday,C2,False,68
southwest,sunday,C2,True,264
southwest,sunday,C2,False,66
southwest,monday,C3,True,144
southwest,monday,C3,False,36
southwest,tuesday,C3,True,136
southwest,tuesday,C3,False,34
southwest,wednesday,C3,True,136
southwest,wednesday,C3,False,34
southwest,thursday,C3,True,136
southwest,thursday,C3,False,34
southwest,friday,C3,True,142
southwest,friday,C3,False,36
southwest,saturday,C3,True,160
southwest,saturday,C3,False,40
southwest,sunday,C3,True,156
southwest,sunday,C3,False,39
southwest,monday,C4,True,32
southwest,monday,C4,False,8
southwest,tuesday,C4,True,30
southwest,tuesday,C4,False,8
southwest,wednesday,C4,True,30
southwest,wednesday,C4,False,8
southwest,thursday,C4,True,30
southwest,thursday,C4,False,8
southwest,friday,C4,True,32
southwest,friday,C4,False,8
southwest,saturday,C4,True,36
southwest,saturday,C4,False,9
southwest,sunday,C4,True,34
southwest,sunday,C4,False,9
